"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"iras:IRAS:1                          ","Class","IRAS","1.0.0.0","iras","IRAS mission related properties","sbn","","","","","","","","","","",""
"iras:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","iras","Observation related properties ","sbn","","","","","","","","","","",""
"iras:Observation_Information:2        iras:b1950_declination:1             ","Attribute","b1950_declination","n/a","iras"," The B1950_declination element provides the declination of a star or other object using the B1950 coordinate frame rather than the J2000 frame. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"iras:Observation_Information:2        iras:b1950_right_ascension:1         ","Attribute","b1950_right_ascension","n/a","iras"," The B1950_right_ascension element provides the right ascension of a star or other object using the B1950 coordinate frame rather than the J2000 frame. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
